POLLING PLACE LOCATION,POLLING PLACE ADDRESS,BLDG,PARK,ZIP,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,,,City,State,County,Zip,Country,Source
NORTH LIGHT COMMUNITY CENTER,175 GREEN LN,B,L,19127,40.028575,-75.224555,1,range_interpolation,175,Green Ln,,,Philadelphia,PA,Philadelphia County,19127,US,TIGER/Line® dataset from the US Census Bureau
HILLSIDE RECREATION CENTER,201 FOUNTAIN ST,B,L,19128,40.033423,-75.229602,1,rooftop,201,Fountain St,,,Philadelphia,PA,Philadelphia County,19128,US,Philadelphia
HILLSIDE RECREATION CENTER,201 FOUNTAIN ST,B,L,19128,40.033423,-75.229602,1,rooftop,201,Fountain St,,,Philadelphia,PA,Philadelphia County,19128,US,Philadelphia
KENDRICK RECREATION CENTER,5822-24 RIDGE AVE,M,N,19128,40.028821,-75.211768,1,rooftop,5822-24,Ridge Ave,,,Philadelphia,PA,Philadelphia County,19128,US,Philadelphia
KENDRICK RECREATION CENTER,5822-24 RIDGE AVE,M,N,19128,40.028821,-75.211768,1,rooftop,5822-24,Ridge Ave,,,Philadelphia,PA,Philadelphia County,19128,US,Philadelphia
NORTH LIGHT COMMUNITY CENTER,175 GREEN LN,B,L,19127,40.028575,-75.224555,1,range_interpolation,175,Green Ln,,,Philadelphia,PA,Philadelphia County,19127,US,TIGER/Line® dataset from the US Census Bureau
HILLSIDE RECREATION CENTER,201 FOUNTAIN ST,B,L,19128,40.033423,-75.229602,1,rooftop,201,Fountain St,,,Philadelphia,PA,Philadelphia County,19128,US,Philadelphia
COOK WISSAHICKON SCHOOL,201 E SALAIGNAC ST,R,L,19128,40.02188,-75.207535,1,range_interpolation,201,E Salaignac St,,,Philadelphia,PA,Philadelphia County,19128,US,TIGER/Line® dataset from the US Census Bureau
COOK WISSAHICKON SCHOOL,201 E SALAIGNAC ST,R,L,19128,40.02188,-75.207535,1,range_interpolation,201,E Salaignac St,,,Philadelphia,PA,Philadelphia County,19128,US,TIGER/Line® dataset from the US Census Bureau
COOK WISSAHICKON SCHOOL,201 E SALAIGNAC ST,R,L,19128,40.02188,-75.207535,1,range_interpolation,201,E Salaignac St,,,Philadelphia,PA,Philadelphia County,19128,US,TIGER/Line® dataset from the US Census Bureau
KENDRICK RECREATION CENTER,5822-24 RIDGE AVE,M,N,19128,40.028821,-75.211768,1,rooftop,5822-24,Ridge Ave,,,Philadelphia,PA,Philadelphia County,19128,US,Philadelphia
KENDRICK RECREATION CENTER,5822-24 RIDGE AVE,M,N,19128,40.028821,-75.211768,1,rooftop,5822-24,Ridge Ave,,,Philadelphia,PA,Philadelphia County,19128,US,Philadelphia
BETHANY LUTHERAN CHURCH,401 MARTIN ST,M,N,19128,40.030048,-75.21655,1,rooftop,401,Martin St,,,Philadelphia,PA,Philadelphia County,19128,US,Philadelphia
BETHANY LUTHERAN CHURCH,401 MARTIN ST,M,N,19128,40.030048,-75.21655,1,rooftop,401,Martin St,,,Philadelphia,PA,Philadelphia County,19128,US,Philadelphia
ROXBOROUGH HIGH SCHOOL,6400 RIDGE AVE,F,L,19128,40.037309,-75.223019,1,rooftop,6400,Ridge Ave,,,Philadelphia,PA,Philadelphia County,19128,US,Philadelphia
ROXBOROUGH HIGH SCHOOL,6400 RIDGE AVE,F,L,19128,40.037309,-75.223019,1,rooftop,6400,Ridge Ave,,,Philadelphia,PA,Philadelphia County,19128,US,Philadelphia
MIFFLIN SCHOOL,3624 CONRAD ST,M,L,19129,40.013847,-75.191288,1,range_interpolation,3624,Conrad St,,,Philadelphia,PA,Philadelphia County,19129,US,TIGER/Line® dataset from the US Census Bureau
WALNUT LANE GOLF CLUBHOUSE,800 W WALNUT LN,F,L,19144,40.032429,-75.195391,1,rooftop,800,W Walnut Ln,,,Philadelphia,PA,Philadelphia County,19144,US,Philadelphia
ROXBOROUGH MEMORIAL HOSPITAL,5800 RIDGE AVE,M,L,19128,40.029416,-75.210543,0.9,nearest_rooftop_match,5801,Ridge Ave,,,Philadelphia,PA,Philadelphia County,19128,US,Philadelphia
ROXBOROUGH MEMORIAL HOSPITAL,5800 RIDGE AVE,M,L,19128,40.029416,-75.210543,0.9,nearest_rooftop_match,5801,Ridge Ave,,,Philadelphia,PA,Philadelphia County,19128,US,Philadelphia
BETHANY LUTHERAN CHURCH,401 MARTIN ST,M,N,19128,40.030048,-75.21655,1,rooftop,401,Martin St,,,Philadelphia,PA,Philadelphia County,19128,US,Philadelphia
ROXBOROUGH HIGH SCHOOL,6400 RIDGE AVE,F,L,19128,40.037309,-75.223019,1,rooftop,6400,Ridge Ave,,,Philadelphia,PA,Philadelphia County,19128,US,Philadelphia
SALVATION ARMY- ROXBOROUGH,6730 RIDGE AVE,M,L,19128,40.040847,-75.225518,0.99,rooftop,6730-40,Ridge Ave,,,Philadelphia,PA,Philadelphia County,19128,US,Philadelphia
SHAWMONT SCHOOL,535 SHAWMONT AVE,A,L,19128,40.052107,-75.23819,1,range_interpolation,535,Shawmont Ave,,,Philadelphia,PA,Philadelphia County,19128,US,TIGER/Line® dataset from the US Census Bureau
ROXBOROUGH HIGH SCHOOL,6400 RIDGE AVE,F,L,19128,40.037309,-75.223019,1,rooftop,6400,Ridge Ave,,,Philadelphia,PA,Philadelphia County,19128,US,Philadelphia
SAUL HIGH SCHOOL,7100 HENRY AVE,F,L,19128,40.04905,-75.223248,1,rooftop,7100,Henry Ave,,,Philadelphia,PA,Philadelphia County,19128,US,Philadelphia
LANKENAU HIGH SCHOOL,201 SPRING LN,M,N,19128,40.062308,-75.253566,1,rooftop,201,Spring Ln,,,Philadelphia,PA,Philadelphia County,19128,US,Philadelphia
HOUSTON RECREATION CENTER,900 GRAKYN LN,M,L,19128,40.06851,-75.232531,1,range_interpolation,900,Grakyn Ln,,,Philadelphia,PA,Philadelphia County,19128,US,TIGER/Line® dataset from the US Census Bureau
COOK WISSAHICKON SCHOOL,201 E SALAIGNAC ST,R,L,19128,40.02188,-75.207535,1,range_interpolation,201,E Salaignac St,,,Philadelphia,PA,Philadelphia County,19128,US,TIGER/Line® dataset from the US Census Bureau
ROXBOROUGH MEMORIAL HOSPITAL,5800 RIDGE AVE,M,L,19128,40.029416,-75.210543,0.9,nearest_rooftop_match,5801,Ridge Ave,,,Philadelphia,PA,Philadelphia County,19128,US,Philadelphia
ROXBOROUGH MEMORIAL HOSPITAL,5800 RIDGE AVE,M,L,19128,40.029416,-75.210543,0.9,nearest_rooftop_match,5801,Ridge Ave,,,Philadelphia,PA,Philadelphia County,19128,US,Philadelphia
SAUL HIGH SCHOOL,7100 HENRY AVE,F,L,19128,40.04905,-75.223248,1,rooftop,7100,Henry Ave,,,Philadelphia,PA,Philadelphia County,19128,US,Philadelphia
SUMMIT PARK APARTMENTS CLUBHOUSE,8201 HENRY AVE,M,L,19128,40.062224,-75.232812,1,rooftop,8201,Henry Ave,,,Philadelphia,PA,Philadelphia County,19128,US,Philadelphia
SALVATION ARMY- ROXBOROUGH,6730 RIDGE AVE,M,L,19128,40.040847,-75.225518,0.99,rooftop,6730-40,Ridge Ave,,,Philadelphia,PA,Philadelphia County,19128,US,Philadelphia
ROXBOROUGH YMCA,7201 RIDGE AVE,M,L,19128,40.045663,-75.232014,1,rooftop,7201,Ridge Ave,,,Philadelphia,PA,Philadelphia County,19128,US,Philadelphia
SHAWMONT SCHOOL,535 SHAWMONT AVE,A,L,19128,40.052107,-75.23819,1,range_interpolation,535,Shawmont Ave,,,Philadelphia,PA,Philadelphia County,19128,US,TIGER/Line® dataset from the US Census Bureau
ANDORRA BRANCH LIBRARY,705 E CATHEDRAL RD,M,H,19128,40.064004,-75.239435,1,range_interpolation,705,E Cathedral Rd,,,Philadelphia,PA,Philadelphia County,19128,US,TIGER/Line® dataset from the US Census Bureau
HOUSTON RECREATION CENTER,900 GRAKYN LN,M,L,19128,40.06851,-75.232531,1,range_interpolation,900,Grakyn Ln,,,Philadelphia,PA,Philadelphia County,19128,US,TIGER/Line® dataset from the US Census Bureau
CATHEDRAL VILLAGE AUDITORIUM,600 E CATHEDRAL RD,F,L,19128,40.062936,-75.241463,1,range_interpolation,600,E Cathedral Rd,,,Philadelphia,PA,Philadelphia County,19128,US,TIGER/Line® dataset from the US Census Bureau
SUMMIT PRESBYTERIAN CHURCH,6757 GREENE ST,M,L,19119,40.045798,-75.193911,1,rooftop,6757,Greene St,,,Philadelphia,PA,Philadelphia County,19119,US,Philadelphia
SUMMIT PRESBYTERIAN CHURCH,6757 GREENE ST,M,L,19119,40.045798,-75.193911,1,rooftop,6757,Greene St,,,Philadelphia,PA,Philadelphia County,19119,US,Philadelphia
UNITARIAN SOCIETY OF GERMANTOWN,6511 LINCOLN DR,F,H,19119,40.040093,-75.191601,1,range_interpolation,6511,Lincoln Dr,,,Philadelphia,PA,Philadelphia County,19119,US,TIGER/Line® dataset from the US Census Bureau
COMMODORE BARRY IRISH CENTER,6815 EMLEN ST,M,L,19119,40.050244,-75.190838,1,rooftop,6815,Emlen St,,,Philadelphia,PA,Philadelphia County,19119,US,Philadelphia
SUMMIT PRESBYTERIAN CHURCH,6757 GREENE ST,M,L,19119,40.045798,-75.193911,1,rooftop,6757,Greene St,,,Philadelphia,PA,Philadelphia County,19119,US,Philadelphia
COMMODORE BARRY IRISH CENTER,6815 EMLEN ST,M,L,19119,40.050244,-75.190838,1,rooftop,6815,Emlen St,,,Philadelphia,PA,Philadelphia County,19119,US,Philadelphia
COMMODORE BARRY IRISH CENTER,6815 EMLEN ST,M,L,19119,40.050244,-75.190838,1,rooftop,6815,Emlen St,,,Philadelphia,PA,Philadelphia County,19119,US,Philadelphia
BLAIR CHRISTIAN ACADEMY,220 W UPSAL ST,A,L,19119,40.044421,-75.186979,1,range_interpolation,220,W Upsal St,,,Philadelphia,PA,Philadelphia County,19119,US,TIGER/Line® dataset from the US Census Bureau
SEVENTH DAY ADVENTIST CHURCH,200 E CLIVEDEN ST,M,L,19119,40.049379,-75.179623,1,rooftop,200,E Cliveden St,,,Philadelphia,PA,Philadelphia County,19119,US,Philadelphia
BLAIR CHRISTIAN ACADEMY,220 W UPSAL ST,A,L,19119,40.044421,-75.186979,1,range_interpolation,220,W Upsal St,,,Philadelphia,PA,Philadelphia County,19119,US,TIGER/Line® dataset from the US Census Bureau
LOVETT BRANCH LIBRARY,6945 GERMANTOWN AVE,F,L,19119,40.056177,-75.187432,1,range_interpolation,6945,Germantown Ave,,,Philadelphia,PA,Philadelphia County,19119,US,TIGER/Line® dataset from the US Census Bureau
PLEASANT RECREATION CENTER,6757 CHEW AVE,M,L,19119,40.056989,-75.182738,1,rooftop,6757,Chew Ave,,,Philadelphia,PA,Philadelphia County,19119,US,Philadelphia
PLEASANT RECREATION CENTER,6757 CHEW AVE,M,L,19119,40.056989,-75.182738,1,rooftop,6757,Chew Ave,,,Philadelphia,PA,Philadelphia County,19119,US,Philadelphia
SEVENTH DAY ADVENTIST CHURCH,200 E CLIVEDEN ST,M,L,19119,40.049379,-75.179623,1,rooftop,200,E Cliveden St,,,Philadelphia,PA,Philadelphia County,19119,US,Philadelphia
CLIVEDEN HOUSE,6415 MUSGRAVE ST,B,N,19119,40.050923,-75.177599,1,range_interpolation,6415,Musgrave St,,,Philadelphia,PA,Philadelphia County,19119,US,TIGER/Line® dataset from the US Census Bureau
LOVETT BRANCH LIBRARY,6945 GERMANTOWN AVE,F,L,19119,40.056177,-75.187432,1,range_interpolation,6945,Germantown Ave,,,Philadelphia,PA,Philadelphia County,19119,US,TIGER/Line® dataset from the US Census Bureau
MOUNT AIRY RECREATION CENTER,7001 GERMANTOWN AVE,M,N,19119,40.057999,-75.187871,1,rooftop,7001,Germantown Ave,,,Philadelphia,PA,Philadelphia County,19119,US,Philadelphia
PLEASANT RECREATION CENTER,6757 CHEW AVE,M,L,19119,40.056989,-75.182738,1,rooftop,6757,Chew Ave,,,Philadelphia,PA,Philadelphia County,19119,US,Philadelphia
PLEASANT RECREATION CENTER,6757 CHEW AVE,M,L,19119,40.056989,-75.182738,1,rooftop,6757,Chew Ave,,,Philadelphia,PA,Philadelphia County,19119,US,Philadelphia
EMLEN SCHOOL,6501 CHEW AVE,R,L,19119,40.054368,-75.177904,1,rooftop,6501,Chew Ave,,,Philadelphia,PA,Philadelphia County,19119,US,Philadelphia
EMLEN SCHOOL,6501 CHEW AVE,R,L,19119,40.054368,-75.177904,1,rooftop,6501,Chew Ave,,,Philadelphia,PA,Philadelphia County,19119,US,Philadelphia
EMLEN SCHOOL,6501 CHEW AVE,R,L,19119,40.054368,-75.177904,1,rooftop,6501,Chew Ave,,,Philadelphia,PA,Philadelphia County,19119,US,Philadelphia
GERMANTOWN CHRISTIAN ASSEMBLY,610 E MT PLEASANT AVE,B,L,19119,40.066765,-75.179481,1,rooftop,610,E Mt Pleasant Ave,,,Philadelphia,PA,Philadelphia County,19119,US,Philadelphia
GERMANTOWN CHRISTIAN ASSEMBLY,610 E MT PLEASANT AVE,B,L,19119,40.066765,-75.179481,1,rooftop,610,E Mt Pleasant Ave,,,Philadelphia,PA,Philadelphia County,19119,US,Philadelphia
DARE TO IMAGINE CHURCH,6610 ANDERSON ST,R,H,19119,40.059903,-75.174518,1,rooftop,6610,Anderson St,,,Philadelphia,PA,Philadelphia County,19119,US,Philadelphia
DARE TO IMAGINE CHURCH,6610 ANDERSON ST,R,H,19119,40.059903,-75.174518,1,rooftop,6610,Anderson St,,,Philadelphia,PA,Philadelphia County,19119,US,Philadelphia
A B DAY SCHOOL,6324 CRITTENDEN ST,M,L,19138,40.058089,-75.168659,0.99,rooftop,6324-42,Crittenden St,,,Philadelphia,PA,Philadelphia County,19138,US,Philadelphia
A B DAY SCHOOL,6324 CRITTENDEN ST,M,L,19138,40.058089,-75.168659,0.99,rooftop,6324-42,Crittenden St,,,Philadelphia,PA,Philadelphia County,19138,US,Philadelphia
A B DAY SCHOOL,6324 CRITTENDEN ST,M,L,19138,40.058089,-75.168659,0.99,rooftop,6324-42,Crittenden St,,,Philadelphia,PA,Philadelphia County,19138,US,Philadelphia
ST MARKS CHURCH FRANKFORD,4442 FRANKFORD AVE,M,N,19124,40.013181,-75.087297,1,range_interpolation,4442,Frankford Ave,,,Philadelphia,PA,Philadelphia County,19124,US,TIGER/Line® dataset from the US Census Bureau
ST MARKS CHURCH FRANKFORD,4442 FRANKFORD AVE,M,N,19124,40.013181,-75.087297,1,range_interpolation,4442,Frankford Ave,,,Philadelphia,PA,Philadelphia County,19124,US,TIGER/Line® dataset from the US Census Bureau
ST MARKS CHURCH FRANKFORD,4442 FRANKFORD AVE,M,N,19124,40.013181,-75.087297,1,range_interpolation,4442,Frankford Ave,,,Philadelphia,PA,Philadelphia County,19124,US,TIGER/Line® dataset from the US Census Bureau
SIMPSON RECREATION CENTER,1010 ARROTT ST,M,L,19124,40.02099,-75.0928,1,rooftop,1010,Arrott St,,,Philadelphia,PA,Philadelphia County,19124,US,Philadelphia
FRANKFORD BRANCH LIBRARY,4634 FRANKFORD AVE,M,N,19124,40.015758,-75.085082,0.99,rooftop,4634-38,Frankford Ave,,,Philadelphia,PA,Philadelphia County,19124,US,Philadelphia
FRANKFORD BRANCH LIBRARY,4634 FRANKFORD AVE,M,N,19124,40.015758,-75.085082,0.99,rooftop,4634-38,Frankford Ave,,,Philadelphia,PA,Philadelphia County,19124,US,Philadelphia
FRANKFORD BRANCH LIBRARY,4634 FRANKFORD AVE,M,N,19124,40.015758,-75.085082,0.99,rooftop,4634-38,Frankford Ave,,,Philadelphia,PA,Philadelphia County,19124,US,Philadelphia
SIMPSON RECREATION CENTER,1010 ARROTT ST,M,L,19124,40.02099,-75.0928,1,rooftop,1010,Arrott St,,,Philadelphia,PA,Philadelphia County,19124,US,Philadelphia
FRANKFORD HIGH SCHOOL,5000 OXFORD AVE,M,L,19124,40.021622,-75.085159,1,rooftop,5000,Oxford Ave,,,Philadelphia,PA,Philadelphia County,19124,US,Philadelphia
PHILA ARTS & SCIENCES CHARTER,1197 HAWORTH ST,A,N,19124,40.024904,-75.086624,1,rooftop,1197,Haworth St,,,Philadelphia,PA,Philadelphia County,19124,US,Philadelphia
VAIRD-FELTONVILLE YOUTH CLUB,4800 WHITAKER AVE,F,L,19124,40.023452,-75.111134,1,range_interpolation,4800,Whitaker Ave,,,Philadelphia,PA,Philadelphia County,19124,US,TIGER/Line® dataset from the US Census Bureau
VAIRD-FELTONVILLE YOUTH CLUB,4800 WHITAKER AVE,F,L,19124,40.023452,-75.111134,1,range_interpolation,4800,Whitaker Ave,,,Philadelphia,PA,Philadelphia County,19124,US,TIGER/Line® dataset from the US Census Bureau
PHILA ARTS & SCIENCES CHARTER,1197 HAWORTH ST,A,N,19124,40.024904,-75.086624,1,rooftop,1197,Haworth St,,,Philadelphia,PA,Philadelphia County,19124,US,Philadelphia
THE BAPTIST WORSHIP CENTER,4790 JAMES ST,M,H,19137,40.008751,-75.074759,1,range_interpolation,4790,James St,,,Philadelphia,PA,Philadelphia County,19137,US,TIGER/Line® dataset from the US Census Bureau
CARMELLA RECREATION CENTER,2100 WAKELING ST,M,N,19124,40.011342,-75.074304,1,rooftop,2100,Wakeling St,,,Philadelphia,PA,Philadelphia County,19124,US,Philadelphia
STEARNE SCHOOL,1655 UNITY ST,R,N,19124,40.011493,-75.085802,0.9,nearest_rooftop_match,1656,Unity St,,,Philadelphia,PA,Philadelphia County,19124,US,Philadelphia
AMERICAN LEGION POST 224,2006 ORTHODOX ST,B,N,19124,40.01106,-75.080306,1,rooftop,2006,Orthodox St,,,Philadelphia,PA,Philadelphia County,19124,US,Philadelphia
WHITEHALL RESIDENT COUNCIL OFFICE (PHA),1824 FOULKROD ST,M,N,19124,40.015295,-75.078254,1,range_interpolation,1824,Foulkrod St,,,Philadelphia,PA,Philadelphia County,19124,US,TIGER/Line® dataset from the US Census Bureau
GAMBRELL RECREATION CENTER,1900 WAKELING ST,M,N,19124,40.014079,-75.075649,1,rooftop,1900,Wakeling St,,,Philadelphia,PA,Philadelphia County,19124,US,Philadelphia
STEARNE SCHOOL,1655 UNITY ST,R,N,19124,40.011493,-75.085802,0.9,nearest_rooftop_match,1656,Unity St,,,Philadelphia,PA,Philadelphia County,19124,US,Philadelphia
STEARNE SCHOOL,1655 UNITY ST,R,N,19124,40.011493,-75.085802,0.9,nearest_rooftop_match,1656,Unity St,,,Philadelphia,PA,Philadelphia County,19124,US,Philadelphia
STEARNE SCHOOL,1655 UNITY ST,R,N,19124,40.011493,-75.085802,0.9,nearest_rooftop_match,1656,Unity St,,,Philadelphia,PA,Philadelphia County,19124,US,Philadelphia
STEARNE SCHOOL,1655 UNITY ST,R,N,19124,40.011493,-75.085802,0.9,nearest_rooftop_match,1656,Unity St,,,Philadelphia,PA,Philadelphia County,19124,US,Philadelphia
POWELL SCHOOL,301 N 36TH ST,M,N,19104,39.95973,-75.193789,1,range_interpolation,301,N 36th St,,,Philadelphia,PA,Philadelphia County,19104,US,TIGER/Line® dataset from the US Census Bureau
DURHAM LIBRARY,3320 HAVERFORD AVE,F,N,19104,39.963879,-75.191144,0.99,rooftop,3320-50,Haverford Ave,,,Philadelphia,PA,Philadelphia County,19104,US,Philadelphia
DURHAM LIBRARY,3320 HAVERFORD AVE,F,N,19104,39.963879,-75.191144,0.99,rooftop,3320-50,Haverford Ave,,,Philadelphia,PA,Philadelphia County,19104,US,Philadelphia
McMICHAEL SCHOOL,3543 FAIRMOUNT AVE,M,N,19104,39.966256,-75.19398,1,range_interpolation,3543,Fairmount Ave,,,Philadelphia,PA,Philadelphia County,19104,US,TIGER/Line® dataset from the US Census Bureau
POWELL SCHOOL,301 N 36TH ST,M,N,19104,39.95973,-75.193789,1,range_interpolation,301,N 36th St,,,Philadelphia,PA,Philadelphia County,19104,US,TIGER/Line® dataset from the US Census Bureau
UNIVERSITY SQUARE APARTMENT COMPLEX,3901 MARKET ST,F,L,19104,39.95741,-75.200732,0.99,rooftop,3901-55,Market St,,,Philadelphia,PA,Philadelphia County,19104,US,Philadelphia
MANTUA HAVERFORD COMMUNITY CENTER,631 N 39TH ST,R,L,19104,39.964077,-75.199646,1,range_interpolation,631,N 39th St,,,Philadelphia,PA,Philadelphia County,19104,US,TIGER/Line® dataset from the US Census Bureau
PEOPLE'S EMERGENCY CENTER,325 N 39TH ST,F,L,19104,39.959646,-75.199755,1,range_interpolation,325,N 39th St,,,Philadelphia,PA,Philadelphia County,19104,US,TIGER/Line® dataset from the US Census Bureau
HEAVENLY HALL,4015-17 POPLAR ST,M,L,19104,39.972864,-75.204657,1,nearest_rooftop_match,4015,Poplar St,,,Philadelphia,PA,Philadelphia County,19104,US,Philadelphia
DREXEL UNIVERSITY RECREATION CENTER,3301 MARKET ST,F,N,19104,39.9565,-75.190328,1,rooftop,3301,Market St,,,Philadelphia,PA,Philadelphia County,19104,US,Philadelphia
DURHAM LIBRARY,3320 HAVERFORD AVE,F,N,19104,39.963879,-75.191144,0.99,rooftop,3320-50,Haverford Ave,,,Philadelphia,PA,Philadelphia County,19104,US,Philadelphia
MANTUA HAVERFORD COMMUNITY CENTER,631 N 39TH ST,R,L,19104,39.964077,-75.199646,1,range_interpolation,631,N 39th St,,,Philadelphia,PA,Philadelphia County,19104,US,TIGER/Line® dataset from the US Census Bureau
McMICHAEL SCHOOL,3543 FAIRMOUNT AVE,M,N,19104,39.966256,-75.19398,1,range_interpolation,3543,Fairmount Ave,,,Philadelphia,PA,Philadelphia County,19104,US,TIGER/Line® dataset from the US Census Bureau
HEAVENLY HALL,4015-17 POPLAR ST,M,L,19104,39.972864,-75.204657,1,nearest_rooftop_match,4015,Poplar St,,,Philadelphia,PA,Philadelphia County,19104,US,Philadelphia
CALVARY ST AUGUSTINE EPISCOPAL CHURCH,814 N 41ST ST,M,L,19104,39.967813,-75.20603,0.99,rooftop,814-22,N 41st St,,,Philadelphia,PA,Philadelphia County,19104,US,Philadelphia
CALVARY ST AUGUSTINE EPISCOPAL CHURCH,814 N 41ST ST,M,L,19104,39.967813,-75.20603,0.99,rooftop,814-22,N 41st St,,,Philadelphia,PA,Philadelphia County,19104,US,Philadelphia
MANTUA HAVERFORD COMMUNITY CENTER,631 N 39TH ST,R,L,19104,39.964077,-75.199646,1,range_interpolation,631,N 39th St,,,Philadelphia,PA,Philadelphia County,19104,US,TIGER/Line® dataset from the US Census Bureau
DREXEL UNIVERSITY RECREATION CENTER,3301 MARKET ST,F,N,19104,39.9565,-75.190328,1,rooftop,3301,Market St,,,Philadelphia,PA,Philadelphia County,19104,US,Philadelphia
DREXEL UNIVERSITY RECREATION CENTER,3301 MARKET ST,F,N,19104,39.9565,-75.190328,1,rooftop,3301,Market St,,,Philadelphia,PA,Philadelphia County,19104,US,Philadelphia
TOMASZEWSKI FUNERAL HOME,2728 E ALLEGHENY AVE,M,N,19134,39.983262,-75.102229,0.99,rooftop,2728-30,E Allegheny Ave,,,Philadelphia,PA,Philadelphia County,19134,US,Philadelphia
MEMPHIS ACADEMY CHARTER SCHOOL,2950 MEMPHIS ST,R,N,19134,39.985934,-75.113129,1,range_interpolation,2950,Memphis St,,,Philadelphia,PA,Philadelphia County,19134,US,TIGER/Line® dataset from the US Census Bureau
TOMASZEWSKI FUNERAL HOME,2728 E ALLEGHENY AVE,M,N,19134,39.983262,-75.102229,0.99,rooftop,2728-30,E Allegheny Ave,,,Philadelphia,PA,Philadelphia County,19134,US,Philadelphia
RICHMOND LIBRARY,2987 ALMOND ST,M,N,19134,39.982633,-75.108693,1,rooftop,2987,Almond St,,,Philadelphia,PA,Philadelphia County,19134,US,Philadelphia
RICHMOND LIBRARY,2987 ALMOND ST,M,N,19134,39.982633,-75.108693,1,rooftop,2987,Almond St,,,Philadelphia,PA,Philadelphia County,19134,US,Philadelphia
COHOCKSINK RECREATION CENTER,2901 CEDAR ST,M,L,19134,39.984316,-75.111838,1,rooftop,2901,Cedar St,,,Philadelphia,PA,Philadelphia County,19134,US,Philadelphia
RICHMOND LIBRARY,2987 ALMOND ST,M,N,19134,39.982633,-75.108693,1,rooftop,2987,Almond St,,,Philadelphia,PA,Philadelphia County,19134,US,Philadelphia
TOMASZEWSKI FUNERAL HOME,2728 E ALLEGHENY AVE,M,N,19134,39.983262,-75.102229,0.99,rooftop,2728-30,E Allegheny Ave,,,Philadelphia,PA,Philadelphia County,19134,US,Philadelphia
MASTBAUM HIGH SCHOOL,3116 FRANKFORD AVE,M,N,19134,39.992858,-75.11235,1,rooftop,3116,Frankford Ave,,,Philadelphia,PA,Philadelphia County,19134,US,Philadelphia
COHOCKSINK RECREATION CENTER,2901 CEDAR ST,M,L,19134,39.984316,-75.111838,1,rooftop,2901,Cedar St,,,Philadelphia,PA,Philadelphia County,19134,US,Philadelphia
COHOCKSINK RECREATION CENTER,2901 CEDAR ST,M,L,19134,39.984316,-75.111838,1,rooftop,2901,Cedar St,,,Philadelphia,PA,Philadelphia County,19134,US,Philadelphia
COHOCKSINK RECREATION CENTER,2901 CEDAR ST,M,L,19134,39.984316,-75.111838,1,rooftop,2901,Cedar St,,,Philadelphia,PA,Philadelphia County,19134,US,Philadelphia
MEMPHIS ACADEMY CHARTER SCHOOL,2950 MEMPHIS ST,R,N,19134,39.985934,-75.113129,1,range_interpolation,2950,Memphis St,,,Philadelphia,PA,Philadelphia County,19134,US,TIGER/Line® dataset from the US Census Bureau
COMMUNITY CENTER AT VISITATION,2646 KENSINGTON AVE,F,N,19125,39.989712,-75.126016,1,range_interpolation,2646,Kensington Ave,,,Philadelphia,PA,Philadelphia County,19125,US,TIGER/Line® dataset from the US Census Bureau
WILLARD SCHOOL,1930 E ELKHART ST,M,N,19134,39.993219,-75.116373,1,rooftop,1930,E Elkhart St,,,Philadelphia,PA,Philadelphia County,19134,US,Philadelphia
COHOCKSINK RECREATION CENTER,2901 CEDAR ST,M,L,19134,39.984316,-75.111838,1,rooftop,2901,Cedar St,,,Philadelphia,PA,Philadelphia County,19134,US,Philadelphia
MEMPHIS ACADEMY CHARTER SCHOOL,2950 MEMPHIS ST,R,N,19134,39.985934,-75.113129,1,range_interpolation,2950,Memphis St,,,Philadelphia,PA,Philadelphia County,19134,US,TIGER/Line® dataset from the US Census Bureau
MASTBAUM HIGH SCHOOL,3116 FRANKFORD AVE,M,N,19134,39.992858,-75.11235,1,rooftop,3116,Frankford Ave,,,Philadelphia,PA,Philadelphia County,19134,US,Philadelphia
WILLARD SCHOOL,1930 E ELKHART ST,M,N,19134,39.993219,-75.116373,1,rooftop,1930,E Elkhart St,,,Philadelphia,PA,Philadelphia County,19134,US,Philadelphia
WILLARD SCHOOL,1930 E ELKHART ST,M,N,19134,39.993219,-75.116373,1,rooftop,1930,E Elkhart St,,,Philadelphia,PA,Philadelphia County,19134,US,Philadelphia
MASTBAUM HIGH SCHOOL,3116 FRANKFORD AVE,M,N,19134,39.992858,-75.11235,1,rooftop,3116,Frankford Ave,,,Philadelphia,PA,Philadelphia County,19134,US,Philadelphia
COHOCKSINK RECREATION CENTER,2901 CEDAR ST,M,L,19134,39.984316,-75.111838,1,rooftop,2901,Cedar St,,,Philadelphia,PA,Philadelphia County,19134,US,Philadelphia
MEMPHIS ACADEMY CHARTER SCHOOL,2950 MEMPHIS ST,R,N,19134,39.985934,-75.113129,1,range_interpolation,2950,Memphis St,,,Philadelphia,PA,Philadelphia County,19134,US,TIGER/Line® dataset from the US Census Bureau
MEMPHIS ACADEMY CHARTER SCHOOL,2950 MEMPHIS ST,R,N,19134,39.985934,-75.113129,1,range_interpolation,2950,Memphis St,,,Philadelphia,PA,Philadelphia County,19134,US,TIGER/Line® dataset from the US Census Bureau
